feature,importance
sin_doy,674
solar_elevation,607
sin_hour,604
price_eur_mwh,601
cos_doy,539
flow_sk_mw,525
clearness_index,476
nuclear_mw,451
load_mw,441
direct_radiation_mean,440
shortwave_radiation_p90,358
flow_de_mw,357
temperature_2m_mean,349
shortwave_radiation_p10,345
flow_at_mw,338
wind_speed_10m_mean,322
diffuse_radiation_mean,308
day_of_year,295
shortwave_radiation_mean,293
cloud_cover_mean,270
wind_mw,204
cloud_cover_p10,141
hour,135
cos_hour,120
cloud_cover_p90,50
month,48
flow_pl_mw,43
is_weekend,37
daylight_flag,2
