feature,importance
solar_lag_168h,1357
diffuse_radiation_mean,868
sin_doy,787
clearness_index,751
wind_speed_10m_mean,735
solar_elevation,714
solar_declination,703
direct_normal_irradiance_mean,698
shortwave_radiation_p10,694
gen_forecast_mw,651
radiation_roll3h_mean,651
price_eur_mwh,628
temperature_2m_mean,625
sin_hour,581
direct_radiation_mean,574
radiation_roll24h_mean,522
installed_capacity_mw,485
shortwave_radiation_p90,476
cloud_cover_mean,440
day_of_year,427
cos_doy,418
cloud_roll3h_mean,384
shortwave_radiation_mean,367
cos_hour,277
global_tilted_irradiance_mean,260
precipitation_mean,250
cloud_cover_p10,246
cloud_cover_p90,136
hour,125
daylight_flag,101
is_weekend,64
month,42
