month,MAE,RMSE,MAPE_daylight,MAE_persistence,SkillScore,window,n
1,31.80956842890973,78.66407619604519,26.65680537295227,74.50282258064516,0.5787516430677176,validation,744
2,72.45971996735159,143.76812317113607,35.40464287141107,184.36671874999996,0.6660336562516638,validation,672
3,83.54416879199867,155.81136443887138,18.409271143539176,189.74519153225808,0.6345797903633978,validation,744
4,79.68119932058264,139.87089445800598,13.507363035518482,251.69060263909026,0.7248752172070735,validation,720
5,75.99329166131392,132.74744106496303,12.017736791968977,200.5286350135383,0.6532583001787654,validation,744
6,88.29930413802632,144.0211279191214,12.502478575357202,210.4199506251007,0.660599216753085,validation,720
7,65.25368366334597,112.96204536641969,11.889471856939283,193.82615927419351,0.6885844786029529,validation,744
8,66.62625513466679,114.77591860189084,9.811779076417238,180.30175067204303,0.6741037503241541,validation,744
9,74.91749002841584,144.56855147218357,18.308106180718557,208.62828472222222,0.6676762014558403,validation,720
10,52.49937423301199,104.33403420132392,21.14652328451861,151.05764112903228,0.6967825766594509,test,744
11,44.556366294085,105.37550398102331,28.778627232762943,105.84896527777776,0.6017902438215603,test,720
12,31.77425276230686,82.63014219860598,35.58987068036264,33.9715,0.09512061181470355,test,720
